# La frase que sale bajo el nombre de cada personaje.
# identidad = el valor del campo 0xBA162C11 de la partida.
# Lo genera herramientas/construir_descripciones.py (NOTAS O-92).
identidad,descripcion
017D2472,Cree que todas las desgracias de la vida son obra de espíritus malignos.
018B7F62,Agente del Comité de Respuesta a Enemigos No Identificados que se alía con el profesor <LST:ARNO> para salvar el mundo.
0198C201,Un genio del diseño. Sus pósteres siempre se usan para eventos especiales.
019E856B,Viene de una familia de cuentacuentos. Une al equipo con su encanto y su agudeza mental.
01A02C92,Hipnotiza a los rivales con sus jugadas acrobáticas. Se obsesiona con cada detalle de su apariencia.
01A0E982,Joven que adora el fútbol. En su mirada arde una pasión inagotable.
01A45E73,Le gustan los dúos cómicos y quiere aprender de ellos cuando se gradúe.
01ADE52B,¡Vive para la samba! No puede evitar ponerse a bailar cuando oye música.
01AF8625,"Incluso cuando viaja al extranjero, debe comer cinco veces al día para no perder fuerzas."
01E25080,Joven especialista en tender innumerables trampas para que los rivales cometan errores garrafales.
01E779CE,"Se lanza a por el balón como un perro rabioso. Cuando lo ha conseguido, no lo suelta."
01F7A52D,Hija de una familia de artistas marciales. Lucha con una fuerza y una elegancia casi perfectas.
02094A80,Su objetivo en la vida es ser dentista. Le gustaría desarrollar nuevas terapias sin dolor.
020D20F7,"El valiente nieto del profesor <LST:ARNO>, con un gran sentido de la justicia. Parte en un viaje con <FUL:WANDABA> para encontrar al mejor equipo."
02154140,Quiere superar a la sociedad de lo oculto. Busca y comparte los misterios más siniestros posibles.
02197A14,"Llama la atención por su aspecto, pero es mucho más que eso."
0219E23F,Entrenador del Big Waves. Adapta su estrategia como una marea cambiante e impredecible.
021C166F,Es un entusiasta del teatro y le gusta pasearse por los escenarios.
021C7047,El máximo goleador de las eliminatorias norteamericanas del FFI. Lo llaman Sr. Gol.
02208A1D,Lee muchos libros viejos que le transportan a la antigüedad.
0222D9BE,No dejes que la amable sonrisa de este carnicero te engañe. En el campo carga como un toro a la fuga.
02293145,Gran fan de las películas de samuráis. Quiere ser uno de ellos cuando crezca.
022B524B,Su pasatiempo favorito es sentarse en una cafetería y ver pasar a la gente por la calle.
0236F007,"Es muy listo, pero utiliza muchos arcaísmos al hablar que nadie pilla."
024A9476,"Alegre y encantadora, es la favorita de todos. Siempre busca nuevas emociones y le importa más el proceso que el resultado."
025029AD,"De un imponente metro noventa, su presencia domina el campo. Nació para dar órdenes y nunca pasa desapercibido."
0263ADA0,"Con su corpulencia, este joven otorga una defensa al equipo tan sólida como un muro infranqueable."
0268FABB,Su esfuerzo y sudor le han permitido a este perspicaz jugador correr como el viento y superar a casi cualquiera.
02693477,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco."
0275D7BA,"Aunque ni siquiera abre los libros, siempre aprueba los exámenes."
028C5933,Su padre es el dueño de unas grandes librerías y su casa está llena de libros.
028CD67E,Le encanta trepar montañas y no está feliz si no escala el monte Fuji una vez al año.
02941849,¡<FLC:VAMP> tras el Miximax Trans que lo convierte en vampiro!
02C42995,Viejo atrapado en el cuerpo de un niño. Solo sabe canciones antiguas.
02E4DD1D,Es un jugador polivalente. Se le da bien tanto la defensa como el ataque.
02F9F01C,Segundo hermano de once. Es sensato y les sirve de guía a los demás.
0305066D,Entrena a diario para ser una leyenda. Lo animó a intentarlo el llamado el Dragón Destructivo.
030643A2,"No se sabe por qué, pero todo lo que está a su lado se humedece."
030F668B,Jugador tranquilo que siempre mantiene la cabeza fría. Sus tácticas dejan helados a los rivales.
0317B2A7,El hijo de <FUL:OTOME>. Su talento natural iguala el de <FUL:HARU>.
0326B72A,Es un narcisista que se cree el número uno del instituto.
032EB7DF,"Un perfeccionista, tanto en forma como en modales. Se considera a sí mismo un símbolo de belleza."
032EBDA2,Delantero y duplicado de <FUL:ASTA>. Es un buen chico que siempre se preocupa por sus amigos.
03322173,"Un sastre talentoso que hace trajes a medida para sus amigos, solo por diversión."
03397668,"Un gran jugador, que entrena mucho y puede llegar a ser profesional."
033B9A2B,Solo ve programas de lucha por la tele. Ahora le ha dado por el kickboxing.
034E3304,Escribe bajo seudónimo en una revista literaria. Parece que es muy prolífico.
034EBC49,Está convencido de que las carpas alejan la mala suerte y tiene una charca llena.
038E4D84,Pertenece al Ejército de terracota. Le preocupa estar jorobado.
03A148DA,"De día, es un simple oficinista. De noche, es el apasionado entrenador del Inazuma Kids FC."
03A33B7F,Hija única de <FLA:ZAIZEN>. Una jugadora de carácter fuerte y varonil.
03AA908C,Un capitán que guía hacia la victoria a su equipo. Tiene un amplio arsenal de tácticas y técnicas.
03B7BD8D,Tiene nivel de profesional. Quiere que su defensa sea inquebrantable.
03BCEA96,"Se autoproclama ""autoridad científica "", pero no hace más que exponer teorías disparatadas."
03CB20B7,Sueña con ir a un baile medieval y por eso practica en casa con vestidos de época.
03DE1A70,"Después de probar varios deportes, ha acabado aficionándose al fútbol."
03DE7C58,"Un joven heredero, bueno con la estrategia, pero que no sabe manejar las sorpresas."
03E0B389,La práctica diaria de este especialista en hierbas y en taichí le ha dado potencia y gracia a sus movimientos.
03E2E02A,Está obsesionado con los buenos modales y la buena educación.
03E9387C,"Tiene un don para la jardinería, especialmente si se trata de cultivar la vid."
03EB5B72,Le gusta cantar punk rock. Se hace daño en la garganta con tanto grito.
03F49A30,Un chico con aguante que soporta lo que le echen sin pestañear.
04079A90,"El misterioso entrenador del Earth Eleven, sus gafas de sol ocultan su locura interior."
040F6433,"Siempre tiene cara de póker, pero odia perder, y ansía obtener un puesto entre los Reyes Celestiales."
040FEB7E,Pocos saben que es el escritor de una popular novela web.
043232F7,Le gustan tanto las zanahorias que pasa del agua y se bebe su zumo.
04471495,Le gustaría ser la que invente una nueva gama de chucherías tradicionales.
04479BD8,"Un perro entrado en años, gran amigo de <FST:TENMA> desde su infancia."
04560E75,Es un provocador que vive para sacar de quicio a sus rivales. Esboza una sonrisa cuando caen en sus trampas.
045714AC,"Juega para desahogarse pero se emociona al perseguir el balón, como si le fuera la vida en ello."
04646742,Su familia tiene un próspero negocio de cultivo y venta de lirios.
049E1BAB,Su elegante juego de pies pone a los rivales en su lugar. Atraviesa el campo con la fuerza de un viento huracanado.
04A01582,Un jugador sombrío que solía dirigir la Royal Academy Redux. Cuenta con nuevos poderes concedidos por <FST:ZANARK>.
04A86F4B,No recuerda nada de su pasado. Cree que es un androide.
04B2A148,Bloquea los tiros por pura suerte. Dice que todo es gracias a su amuleto de la suerte del equipo de balonmano.
04D7D484,El hijo de un casero que simplemente no soporta el olor a cerveza.
04DADE77,La misteriosa hermana pequeña de <FST:LIHAO>. Tiene una aguda mirada y es la gerente de la Tropa Acrobática del Fútbol.
04DB53B4,"El Miximax de <FLC:GOENJI> y <FLC:FUBUKI>. De apariencia gélida, pero es puro fuego en el campo."
04E090A0,"Gracias a <FFS:GARCILDO>, este jugador ha sabido aumentar su resistencia."
04E2F3AE,No se toma nada en serio. Va por la vida en plan pasota.
04EB48F6,Maestro del ajedrez que incluso ha jugado en campeonatos mundiales.
04F417C5,"Lo conocen como el ""Cazaosos "". Bajo su temperamento tranquilo, se oculta una furia sin igual."
04FDBDA1,Es el capitán del Magmavís. Está orgulloso del poder que obtuvo al renunciar a sus alas.
0502906E,El rey renacido de Falam Orbius. Se apareció como un picksie de color negro delante de <FLC:TSURUGI>.
050B3A0A,El que pasa lista del equipo. Tiene un reloj digital en los ojos.
0515BEB3,Necesita la almohada perfecta para poder dormir plácidamente.
05209999,"Le avergüenza su gran barbilla, pero dicen que le da un aire heroico."
0522FA97,<FFS:GARCILDO> lo ayudó a mejorar su visión. ¡Ya puede ver perfectamente al adversario!
052922C1,Mago del ajedrez japonés. Incluso ganó un torneo de profesionales.
053FD796,Gran rival de <FST:ALBEGA>. Le pidió una tregua temporal para hacer frente a la crisis de su planeta juntos.
055C719C,Un tipo popular al que le quedan muy bien las gafas. O al menos eso es lo que él dice...
05627FB5,Un tirador certero que nunca falla y siempre marca gol. Cuenta con nuevos poderes concedidos por <FST:ZANARK>.
056A057C,Estudioso de seres fantásticos a los que echa la culpa de todo.
05857EA2,"Le gusta el backgammon, pero no encuentra a nadie con quien jugar en su escuela."
0585F1EF,Lleva en el pelo una estrella que es su rasgo distintivo.
05957E9B,"Una chica malota con sangre fría, que encandila a la multitud y ve las intenciones de los rivales a la primera."
059DB095,"Tras el Miximax con <FST:ZANARK>, es muy duro de roer. ¡Cuidado!"
05A2E665,"Adora investigar y probar nuevas rutinas de entrenamiento, pero no es constante."
05ABD762,"Un cocinero perfeccionista, cuya pasta está siempre al dente."
05C5F0A7,"El padre de <FST:ACLOUS> y abuelo de <FST:LARAYA>, antiguo rey de Falam Orbius."
05CD8149,Es una máquina de hacer manualidades. Ahora está trabajando en la mascota del equipo.
05F058C0,Ha probado todo tipo de carne cruda sin tener nunca una indigestión.
05F11D3B,"Trata de comportarse de forma adulta, pero aún tiene que madurar."
05FC0170,"Chico de la costa que siempre está de buen humor. ""¡Nunca me he cruzado con una ola que no pudiera surfear! ""."
06012581,"No será el jugador más grande, ¡pero sí el más enérgico! Un joven optimista que siempre está preparado para todo."
0601AACC,"Su defensa es como un muro impenetrable de fuego, despejando cualquier tiro con una potente patada."
06113DEF,"Sigue las tácticas de la IA de su equipo, pero las máquinas no lo convencen."
06178BB7,Un auténtico torbellino de pura energía. Lidera el campo usando su físico como arma en esprints imparables.
061964FB,El Miximax Trans de <FLC:SHINDO> y <FST:NOBUNAGA>. ¡El estratega definitivo!
061C0880,"Si tiene comida a mano, la engulle aunque no sea suya."
0629224E,"Su pasatiempo es hacer gameplays, incluso comenta los partidos con memes y hashtags."
06338293,Un obseso de los monumentos. Duerme en un altar de piedra.
063FB9C7,"Destaca con su trombón, pero más aún con sus pasos de baile. Mejor apártate cuando empiece a tocar."
064124C9,Una famosa diseñadora de interiores que solo sueña con ver a su hija llegar a lo más alto.
06495527,Esté gánster de manos largas puede abrir cualquier cerradura en tres minutos.
065F2F3D,Es un derrochador y se gasta la paga del mes en una semana.
06644770,Es el arma definitiva de Orión. Es imbatible tanto en inteligencia como en habilidad.
0666DF34,"Normalmente es frío y vengativo, pero se deja bailar el agua."
06748CAE,Canta en una banda de estética glam. Odia que lo llamen por su nombre real.
0675C955,Los hibiscos son bellos... Tanto como esta estrella de la Mary Times.
06864400,Un guerrero legendario reencarnado del planeta Nomor. Era el picksie blanco que apareció ante <FST:TENMA>.
0686553C,"Un profesional de la lucha libre. Es un villano temido en el ring, pero un chico tímido al salir."
06916ADD,"Aunque quedan pocos teléfonos públicos, aún colecciona tarjetas telefónicas."
06A44DF7,"Rubia platino natural, pero sueña con una melena morena y sedosa."
06A62EF9,"Pensó en hacerse la permanente, pero vio que no causaría mucha impresión."
06ADF6AF,Habla con los caballos y los guía sin necesidad de fusta.
06D3089B,"Raudo cual rayo, fulgurante como el sol, atrápalo ya o te meterá un gol."
06E25622,"Aunque ya no lleve su bandana, sigue siendo el baluarte del equipo, con un espíritu de lucha más ardiente que nunca."
06ED94DD,Su oído le deja disfrutar de los vítores e ignorar los abucheos. Son solo ruido de fondo.
06EED112,Es todo un experto en animales marinos pero no sabe nadar.
06F6F352,"Está mejorando su tasa de aciertos en los consursos musicales. No reconocería estribillos, aunque su vida dependiera de ello."
07033136,"Un gigante gentil de la liga profesional japonesa, adorado por los niños de cada rincón del mundo."
072CBB25,"A primera vista, parece bonachón y adorable pero tiene muy mal genio."
073A8B76,"Se inscribió en la Secundaria <MNT:NAGUMOHARA> por la ausencia de fútbol, un deporte que parece detestar intensamente."
07443F0B,Sus padres no lo dejan salir de noche porque la luna llena lo vuelve loco.
075300EA,Ha formado un grupo con amigos del instituto y está grabando un disco.
076444CE,Un surfista sureño con un entusiasmo ilimitado y una elegante visera para el sol.
076627C0,Está un poco chiflada. Se dedica a ponerles motes extraños a sus amigos.
076F9C98,"Le chifla comer huevos, y se zampa los de cualquier ave."
0782683F,Un ególatra que dibuja manga para compartir su ideal de belleza con todos.
07834EFE,El inventor de la máquina del tiempo que llevó a <FST:FEI> y a <FUL:WANDABA> desde 200 años en el futuro hacia el presente.
078B3F10,Se rumorea que irá a estudiar al extranjero después de haber ganado un concurso de violín.
079974DD,"A simple vista parece afable, pero anula a rivales a base de cargas."
079D450A,Es un experto en bolas de arroz y sabe preparar más de 100 tipos.
07A4B503,"Como es tan guapo, lleva un parche en el ojo para que lo tomen en serio como criminal."
07B40ADA,Un delantero impasible que disfruta sorprendiendo a los rivales.
07B6E699,"Es muy guapa y tiene una linda mirada, pero hay algo raro y misterioso en su comportamiento."
07B7A362,Siempre va con los ojos cerrados para hacer ver que está ausente.
07BF5DC1,No te dejes engañar por su aspecto de empollona. Quiere ganar a toda costa.
07C34FB6,"Un joven con un excelente equilibrio en el campo de juego. Tiene sus prontos, pero es de buen corazón."
07C3C0FB,Está construyendo un invernadero en su casa para cultivar su propio café.
07D357D8,"Era débil, pero gracias a la IA, ahora es fuerte como un toro. Demostró la verdadera potencia de la tecnología de última generación."
07DB0ECC,El Miximax Trans de <FUL:HAKURYU> y <FUL:KOMEI3> es un medio formidable que puede ver hacia el futuro.
07DE62B7,"Un deportista dotado al que, por ser enfermizo, le cuesta destacar."
07EB4879,"Apoyado por su mamá mangaka, en forma de protesta, dice que es más de béisbol."
07F1708F,"De espíritu fogoso, la entrenadora de Los Muay Tigers toma decisiones más rápido de lo que nadie se imagina."
07F1E8A4,Siempre se gasta toda la propina en regalos para los demás.
080538F5,Un chico que confía plenamente en sus propias habilidades. Mantiene una gran rivalidad con <FLC:TSURUGI>.
080F5938,A su padre le gusta tanto el béisbol que le puso un nombre estrafalario.
08127439,"Juega a la lotería todas las semanas, y todas las semanas le toca."
08192322,Jugador que parece un luchador de sumo y que utiliza tácticas despreciables siempre a su favor.
0820D32B,"Dice que adora bucear, pero lo cierto es que solo le gusta el traje de buzo."
08381D1C,Tiene una enorme colección de auriculares. La verdad es que le sobran.
08492FB7,Es el exigente entrenador del Colina Verde. Un antiguo aficionado al fútbol en el que se puede confiar.
0849844E,Un chico que anima el ambiente con mucha facilidad. Su persistencia puede hacerlo parecer un acosador.
084C7E85,Es experta en las particularidades del maquillaje estadounidense.
085A049F,"En sus inversiones en bolsa, gana más que su padre."
08758E8C,Este portero de ojos rojos obedece todas las órdenes de <FLA:SAKAMAKI>.
0879D298,Jugador que bloquea la portería con el enorme físico que ha desarrollado gracias a las artes marciales.
087AF017,Es un experto en patinaje en línea y va patinando a todas partes.
08840633,"Una futura diosa del rock con velocidad para dar y tomar. Juega sin filtros, se hace ver y es rápida."
08851CEA,"Para bien o para mal, pero el balón siempre lo encuentra. Lo mismo le pasa con las bolas de nieve durante las batallas."
08928562,"Un joven fanfarrón, pero con un increíble talento. Controla a los demás como si fuesen marionetas."
08950484,Una especie de científico loco que hace experimentos después de clase.
0897678A,Quiere dar con un pozo petrolífero y convertirse en un magnate del crudo.
0897E8C7,Muestra una convicción casi fanática en la superioridad de su equipo.
089CBFDC,"Es muy dulce, pero se enfada de golpe si no consigue lo que quiere."
08A85240,Lo primero que hace al levantarse es planear el día usando cartas de tarot.
08A8DD0D,Es tan bueno dibujando que ilustra casi toda la revista del instituto.
08AB98C2,Pequeña pero matona. Sus saltos y su poder de anticipación la hacen imprevisible.
08BD034B,"Resiliente como un barco rompehielos, nunca cede ante la presión y siempre anima a sus compañeros de equipo."
08CF3FEF,Le gustan tanto las vieiras que las come incluso durante los partidos.
08D4230D,"Ni sabía cómo mantenerse a flote, pero su tesón atrajo las miradas de los demás."
08E022E6,Usa sus poderes del inframundo para percibir el lado oscuro de las cosas.
08EBFAB0,Aplica su experiencia en otros deportes en los partidos de fútbol.
08F175C1,Su elegante juego de pies pone a los rivales en su lugar. Atraviesa el campo con la fuerza de un viento huracanado.
0922C79C,Se dedica a podar con regularidad los árboles de un bosque cercano.
09299087,Puede cambiar la dirección en la que corre en un instante.
09331FF6,Un tipo popular al que le quedan muy bien las gafas. O al menos eso es lo que él dice...
0941C085,"Un delantero calculador que persigue el balón sin tregua, aunque le cuesta mantener la cabeza fría ante las provocaciones."
09466C04,"Una mole forjada en el rugby, que, una vez en marcha, atraviesa el campo como un tren de mercancías."
094776DD,"Se fortaleció fallando entrenamientos en la nieve, lo que lo convirtió en pura resistencia."
09532D9F,"Su destreza artística cautiva a sus rivales, juega divinamente."
09550DBD,Está escribiendo un ensayo sobre gramática avanzada.
09576EB3,Obtiene su energía desbordante mediante cinco comidas consistentes al día.
0966300A,"Pasó su infancia solo, jugando con su balón en la finca. Le guarda rencor a su padre, que jamás le mostró afecto."
096A3877,Juega con los ojos cerrados para no distraerse. Se vale del viento y del ruido para defender.
096AB73A,Es muy sensible y llora por cualquier cosa.
097F697C,Es el payaso del equipo y siempre está animando el ambiente. Cuando está bajo presión nunca falla.
0985CCE4,Es un jugador polivalente. Se le da bien tanto la defensa como el ataque.
098AA343,El líder de los Chicos de la Segunda Fase. Su objetivo es dominar el mundo 200 años en el futuro.
098E14B2,Es la cantante principal de un grupo femenino. Tiene muchas admiradoras.
09986EA8,Lleva de amuleto la bota que le dio un famoso jugador.
09B7E4BB,Un delantero calculador que dedica su vida a obedecer a <FLA:SAKAMAKI>.
09B89A20,Durante los fines de semana monta a caballo. Quiere ser un jockey profesional.
09BBDFEF,"Dice ser el maestro de los puzles, pero cada vez que pierde culpa a la gravedad de su fracaso."
09C752C2,Un chico que confía plenamente en sus propias habilidades. Mantiene una gran rivalidad con <FLC:TSURUGI>.
09CD330F,Le encanta el peligro. Su tutor le suele sacar tarjeta amarilla.
09D01E0E,"Las luces brillantes lo deslumbran, por lo que prefiere las sombras."
09E2B91C,"Cautiva a los enemigos con una involuntaria mirada soñadora y seductora, debida a su falta crónica de sueño."
09FA772B,"Es un vago de cuidado y un glotón, pero tiene buen corazón. No le cae mal a nadie."
0A01188A,Trabajó como gondolero en Venecia para mejorar su equilibrio y hacerse más fuerte.
0A0AC0DC,Es un experto en el juego de cartas del bridge.
0A3C4E4E,Su sueño es fotografiar todas las carreteras nacionales del país.
0A49E761,Es tan recto que si te ganas su confianza no te traicionará jamás.
0A666D72,Experto en astrología y astronomía. ¿Podrá ver el futuro en los partidos?
0A7EA345,"Como se queda hasta las tantas viendo la tele, luego le cuesta concentrarse en clase."
0A8916AC,El motor del equipo y el más sensato de todos. Mantiene el ritmo incluso en los entrenamientos más duros.
0AA5CEE8,"Rival de <FUL:RYUBI> que llegó a gobernar Wei, uno de los Tres Reinos."
0AA613F2,"Tenaz defensa que no ceja en su tarea, incluso cuando lo han rebasado."
0AAB7861,Hijo del legendario futbolista <FUL:ENDO>. Sus habilidades impresionan.
0AAD44E9,"Aunque no es cocinero, le prepara la comida a los de su equipo cada día."
0AC335A9,Una modelo nacida para la fama que exige perfección a su equipo y el doble a sí misma.
0AD1D9D3,Su abuelo fue un zapatero legendario y él ha heredado sus habilidades.
0AD3BADD,"Sale a correr llueva, nieve, truene o haga sol, incluso si implica recibir una buena reprimenda."
0AEE6354,"Es muy temperamental. Si se piensa que es objeto de burlas, se enfada."
0AEEEC19,Es capaz de dar codazos muy fuertes con sus enormes brazos y derribar a sus oponentes de un solo golpe.
0AF3C118,Este fabricante de salchichas provee a su equipo de proteínas de alta calidad.
0AF4AD57,"Un fan devoto del <FUL:GOMASHIO>, que prefiere animar desde las gradas y saltarse el entreno a la más mínima."
0AFA30D1,Obsesionada con la adivinación y los talismanes de la suerte. Realiza rituales antes de empezar cada partido.
0AFD9C50,Es responsable y tiene dotes de líder pero enmudece cuando está cerca de su amor platónico.
0B015F9E,"Una niña de papá obsesionada con las estrellas del fútbol. Por muy cansada que esté, su carita es siempre adorable."
0B11D0EA,Le gustan tanto las hortalizas que se come las ensaladas sin aliñar.
0B133CA9,"Un genio de las artes marciales, que con 10 años ya era entrenador. Aplica sus conocimientos al fútbol."
0B13B3E4,"Vive en un edificio histórico, pero quiere un pisito más cómodo."
0B186BB2,Es despiadada y aprovecha cualquier debilidad del rival para atacar.
0B2C0963,Desconcierta al rival doblándose como una gamba y haciendo acrobacias.
0B2C862E,"Lo eligieron como capitán del equipo tailandés, pero no aceptó e insistió en que <FST:NAPA> sería mejor capitán."
0B31AB2F,Su deportividad y su voluntad de hierro hacen de él todo un ejemplo de atleta alemán.
0B64F688,Un jugador extraño y escurridizo que ha obtenido poderes celestiales.
0B6F2EDE,"Normalmente es muy tranquilo, pero una vez al año arde como el fuego."
0B79DB89,Compra los nuevos lanzamientos en cuanto salen al mercado en el mejor videoclub de la galaxia.
0B8A439A,"Lo conocen como el ""Cazaosos "". Bajo su temperamento tranquilo, se oculta una furia sin igual."
0B8B8D56,Terco como una mula. Nadie puede hacerle cambiar de opinión.
0BA40745,"Cuando grita, le oyen en la ciudad de al lado... Es porque desayuna fuerte."
0BBCC972,Sueña con ser un profesional de la lucha libre mexicana.
0BC8AAEB,Es el batería en un grupo. Ha llegado a tocar 10 horas seguidas.
0BE4EA7A,"Es frío, brusco y sabe mantener humilde al equipo. Compensa su energía desenfrenada con su calma silenciosa."
0BFE2479,Los trenes de vapor le fascinan y se ha subido en todos los del país.
0C08F742,"Siempre lleva consigo un panal de abejas y les susurra, sean reales o no."
0C0F47D7,No puede vivir sin la tele. Incluso la ve por el móvil en el instituto.
0C11C36E,Peligroso jugador que amaga con sus chutes para reventar a los rivales con el balón.
0C187836,Espera pacientemente a que el rival baje la guardia para atacar.
0C1A9475,"Centrocampista que vive para las batallas a hombros acuáticas, el acontecimiento más salvaje de Cala Pirata."
0C252EF2,Un descendiente de ojos rojos. Su capacidad física hace que destaque dentro del equipo.
0C25A1BF,Dice que puede predecir terremotos. A veces se mete debajo del pupitre.
0C33DBA5,Le gustan los hombres fuertes sin importarle que sean feos.
0C482AD0,"Termina a toda velocidad el entreno de surf solo para jugar al vóley playa, que es lo que más disfruta."
0C534D5F,Aprendió a exorcizar espíritus con su tarareo. Ahora hace lo mismo si nota que hay mal ambiente.
0C5F760B,Un chico experto en batallas LBX. Trata a <FUL:FRAN> como a una hermana.
0C668602,Una hábil espía que es capaz de robar información de los rivales sin dejar ningún rastro.
0C6DD119,Obsesionado con dominar el tiro libre perfecto. Siempre busca que la trayectoria del balón sea impecable.
0C70FC18,Sus implantes tienden a hacerle perder su fuerza de voluntad.
0C816045,"Da igual el partido, su gran habilidad para seguir la pelota lo convierte en un talento natural."
0C82258A,Se ha unido a un equipo de voley playa para ver a chicas en bikini.
0C885142,Siempre está calculando el siguiente movimiento en su mente. Sirve a Orión con una lealtad inquebrantable.
0CADAF99,"Es pequeñito, pero tiene un gran corazón y una voluntad de hierro. Todos lo ven como un líder."
0CB561AE,"Si dejara de jugar con la cremallera del chándal todo el rato, sería un gran futbolista."
0CBFFC03,"El cuarto de unos quintillizos. Vive en la inopia, pero es la mar de simpático."
0CC10237,"El rey de los huevos: los hace duros, pasados por agua..."
0CEAA1A4,¡Un misterioso enmascarado con bufanda! Viejo enemigo de los Vengadores del Aire.
0CEAB098,Un jugador de baloncesto de brazos alargados. Siempre ha preferido trabajar en solitario.
0CF78CA5,En invierno siempre está cerca de la chimenea. Cree que Santa aparecerá.
0CFCDBBE,Lidera la defensa con eficiencia y nervios de acero. Imperturbable incluso cuando las cosas se ponen feas.
0D036800,"Maestro de las muecas que en lugar de hacer reír a la gente, la asusta."
0D07B4F1,"Solía ser muy frágil, pero reconstruyó su cuerpo con persistencia y una estricta dieta de verduras frescas."
0D08B056,Tiene una gran ambición: dar un nuevo impulso a la literatura argentina.
0D176028,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco."
0D28CB93,Fan de la música punk. Se entusiasma tanto cuando la escucha que no hay quien pueda detenerlo.
0D35E692,Un audiófilo que rechaza los CDs y prefiere el vinilo.
0D38CB66,"Tras unificar sus personalidades, ha logrado combinar la fuerza de su hermano con una aguda capacidad analítica."
0D404FBD,Tiene la manía de apuntarlo todo en la libreta que lleva siempre encima.
0D4C419A,El consentido heredero del grupo <LST:KIRA>. Sus habilidades individuales hacen que roce lo divino.
0D586DFD,"Todas las mañanas, elige un papel con un rol de un sombrero y se pasa todo el día representándolo."
0D6FC5AE,Viene de una estirpe de árbitros famosos por su intransigencia.
0D74928C,El segundo al mando lo salvó de una pelea en medio de la calle. Ahora pone todos sus esfuerzos en cada partido.
0D770B99,A este chico le encanta jugar con bengalas por la noche.
0D7D9634,En su portentosa memoria aún almacena recuerdos de cuando era bebé.
0D8D3EEA,Joven especialista en tender innumerables trampas para que los rivales cometan errores garrafales.
0D912768,Su voz es grave y potente. Su vibrato es tal que cala en tus huesos.
0D9D1C3C,Duplicado de <FUL:ASTA> y temible guerrera. No se pierde su rutina de entrenamiento diaria por nada del mundo.
0DA4EC35,"Cuando marca a un jugador, lo persigue hasta el fin del mundo."
0DAFBB2E,Bajo ninguna circunstancia pierde de vista el balón. Su defensa es impecable.
